epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5002,1.10468,7.72494,0.0066,0.00321,0.98864,0.28058,0.20896,0.90008,4.65883,0.00683,0.00048343,0.00048343,0.00048343
2,23.1781,0.974,5.94301,0.00586,0.00326,0.93182,0.5451,0.39756,0.79719,4.14755,0.00659,0.000973793,0.000973793,0.000973793
3,27.7809,1.01754,4.74903,0.00565,0.83902,0.32894,0.68316,0.543,0.7251,2.95133,0.00537,0.00145425,0.00145425,0.00145425
4,32.4184,0.9605,3.94291,0.00534,0.65152,0.60838,0.68151,0.49308,1.03923,2.36047,0.00755,0.00161749,0.00161749,0.00161749
5,36.9227,1.02284,3.39574,0.00578,0.65331,0.74169,0.7833,0.61789,0.75181,1.6627,0.00565,0.00160099,0.00160099,0.00160099
6,41.5516,0.97793,2.77618,0.00533,0.71392,0.86729,0.8849,0.66385,0.93615,1.15676,0.00688,0.00158448,0.00158448,0.00158448
7,46.1246,1.00083,2.3655,0.00561,0.89861,0.80991,0.90349,0.6869,0.86572,0.7078,0.00597,0.00156798,0.00156798,0.00156798
8,50.6818,0.88903,1.961,0.00509,0.90299,0.86486,0.934,0.73725,0.78469,0.45819,0.00539,0.00155148,0.00155148,0.00155148
9,55.2513,0.91356,1.78483,0.00531,0.82001,0.8899,0.90796,0.75015,0.65471,0.50846,0.00455,0.00153497,0.00153497,0.00153497
10,59.8674,0.91022,1.49215,0.00477,0.90939,0.83675,0.91683,0.71876,0.81368,0.55148,0.00604,0.00151847,0.00151847,0.00151847
11,64.4248,0.88877,1.35996,0.00506,0.85299,0.87241,0.92114,0.72275,0.89553,0.51387,0.00729,0.00150197,0.00150197,0.00150197
12,69.1933,0.89826,1.25878,0.00513,0.84538,0.82216,0.89058,0.66681,0.871,0.56694,0.00599,0.00148546,0.00148546,0.00148546
13,73.748,0.89459,1.10975,0.005,0.7849,0.88697,0.88195,0.69424,0.71137,0.53515,0.00508,0.00146896,0.00146896,0.00146896
14,78.356,0.89545,1.06606,0.00493,0.85943,0.88506,0.91518,0.73564,0.70142,0.4682,0.00488,0.00145246,0.00145246,0.00145246
15,82.8614,0.81312,0.8994,0.00443,0.92715,0.90433,0.93043,0.75651,0.70101,0.42086,0.00473,0.00143595,0.00143595,0.00143595
16,87.3621,0.90525,0.8337,0.00503,0.71855,0.85826,0.88102,0.73666,0.69165,0.53272,0.00524,0.00141945,0.00141945,0.00141945
17,91.8722,0.84346,0.80796,0.00474,0.85158,0.89834,0.91199,0.75148,0.68273,0.46634,0.00494,0.00140295,0.00140295,0.00140295
18,96.4146,0.86784,0.76711,0.00486,0.83876,0.90909,0.91191,0.72842,0.7191,0.48257,0.00515,0.00138644,0.00138644,0.00138644
19,100.925,0.82675,0.7089,0.00479,0.96597,0.91402,0.93834,0.7934,0.63483,0.38698,0.00466,0.00136994,0.00136994,0.00136994
20,105.487,0.82939,0.64179,0.00473,0.87083,0.95213,0.94278,0.77189,0.73055,0.42071,0.00535,0.00135344,0.00135344,0.00135344
21,110.039,0.79804,0.61515,0.00457,0.92526,0.80743,0.90869,0.7693,0.62861,0.47367,0.00435,0.00133693,0.00133693,0.00133693
