epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7028,1.02538,6.79712,0.00598,0.00347,0.99174,0.67512,0.51273,0.72722,4.19599,0.00624,0.000546847,0.000546847,0.000546847
2,33.7538,1.04488,4.43996,0.00595,0.78962,0.7795,0.84874,0.65842,0.89272,2.16331,0.0077,0.0010916,0.0010916,0.0010916
3,43.0809,1.07224,3.25556,0.00595,0.83081,0.87078,0.93522,0.68376,1.00549,1.39492,0.00871,0.00162535,0.00162535,0.00162535
4,52.0939,1.07055,2.55901,0.00638,0.85099,0.84344,0.93625,0.68118,0.92155,0.90289,0.00847,0.00161749,0.00161749,0.00161749
5,61.3581,1.06994,1.78319,0.0059,0.69847,0.81929,0.86359,0.66487,0.89013,0.64377,0.00766,0.00160099,0.00160099,0.00160099
6,70.6513,1.03581,1.40008,0.006,0.77501,0.79894,0.90041,0.69731,0.83426,0.6146,0.00716,0.00158448,0.00158448,0.00158448
7,79.7783,0.95906,1.10316,0.00535,0.90967,0.86699,0.95583,0.75006,0.84009,0.43896,0.00716,0.00156798,0.00156798,0.00156798
8,89.1485,0.97166,0.95954,0.00546,0.8533,0.90038,0.94421,0.75585,0.79705,0.43885,0.00698,0.00155148,0.00155148,0.00155148
9,98.3865,0.92924,0.8623,0.00531,0.92911,0.92171,0.96994,0.77624,0.81068,0.38833,0.00702,0.00153497,0.00153497,0.00153497
10,108.727,0.9731,0.77691,0.00554,0.97051,0.95214,0.98807,0.79477,0.77254,0.31388,0.00684,0.00151847,0.00151847,0.00151847
11,119.566,0.93821,0.72741,0.00527,0.85331,0.93771,0.9658,0.77922,0.75474,0.41007,0.00639,0.00150197,0.00150197,0.00150197
12,130.045,0.90671,0.66157,0.00513,0.9715,0.96837,0.98707,0.79864,0.7743,0.31844,0.00672,0.00148546,0.00148546,0.00148546
13,140.912,0.88665,0.62941,0.00493,0.93761,0.94982,0.9804,0.80886,0.69929,0.31705,0.00586,0.00146896,0.00146896,0.00146896
14,151.213,0.86086,0.57204,0.00477,0.94111,0.9087,0.97603,0.78618,0.79041,0.33735,0.0064,0.00145246,0.00145246,0.00145246
15,161.457,0.88571,0.58797,0.00477,0.89629,0.9429,0.96391,0.79295,0.73616,0.3616,0.00608,0.00143595,0.00143595,0.00143595
