epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1092,1.08388,2.51957,1.07911,1,0.12764,0.8879,0.65754,0.87799,2.52231,0.90659,0.000546847,0.000546847,0.000546847
2,23.4475,1.00138,1.58133,1.02828,0.70092,0.88854,0.77239,0.56085,0.8759,1.66846,0.95887,0.0010916,0.0010916,0.0010916
3,33.5121,1.00064,1.33762,1.0378,0.86229,0.58274,0.75962,0.54828,0.97712,2.18893,1.082,0.00162535,0.00162535,0.00162535
4,43.1293,0.97655,1.08908,1.02832,0.94966,0.96763,0.98641,0.72319,0.88686,0.74552,0.97806,0.00161749,0.00161749,0.00161749
5,52.7432,0.94387,0.96027,1.00647,0.52269,0.91384,0.67336,0.50156,0.86752,3.21352,0.97554,0.00160099,0.00160099,0.00160099
6,62.4408,0.91848,0.83789,0.99975,0.97917,0.98122,0.99316,0.79071,0.75571,0.57509,0.92294,0.00158448,0.00158448,0.00158448
7,72.0931,0.92654,0.80811,1.00068,0.96905,0.99425,0.99072,0.78409,0.82261,0.57437,0.95497,0.00156798,0.00156798,0.00156798
8,81.42,0.89471,0.7583,0.97879,0.93858,0.98346,0.98765,0.78762,0.75264,0.59006,0.91441,0.00155148,0.00155148,0.00155148
9,90.7864,0.87182,0.70247,0.97922,0.9891,0.98506,0.99417,0.80228,0.77637,0.49589,0.94454,0.00153497,0.00153497,0.00153497
10,100.354,0.8416,0.66669,0.96768,0.98993,0.98941,0.99483,0.80913,0.76403,0.5144,0.93253,0.00151847,0.00151847,0.00151847
11,109.827,0.85598,0.64092,0.97353,0.9857,0.99386,0.99361,0.81073,0.73056,0.48159,0.91966,0.00150197,0.00150197,0.00150197
12,119.589,0.86313,0.64026,0.96896,0.96911,0.97987,0.9941,0.81721,0.73261,0.4815,0.91409,0.00148546,0.00148546,0.00148546
13,129.452,0.8186,0.60777,0.95062,0.99893,1,0.995,0.8287,0.75476,0.43382,0.91452,0.00146896,0.00146896,0.00146896
14,138.826,0.83482,0.61123,0.96049,0.99341,0.9922,0.99489,0.81578,0.7423,0.44924,0.91534,0.00145246,0.00145246,0.00145246
15,148.109,0.80989,0.59467,0.94952,0.97624,0.95308,0.99393,0.81614,0.7095,0.51465,0.91092,0.00143595,0.00143595,0.00143595
16,157.511,0.811,0.59541,0.95452,0.99834,0.99989,0.995,0.8367,0.73423,0.43403,0.91403,0.00141945,0.00141945,0.00141945
17,166.981,0.83128,0.56269,0.96572,0.99127,0.98995,0.99489,0.82205,0.76364,0.44429,0.93763,0.00140295,0.00140295,0.00140295
18,176.427,0.81713,0.56452,0.95813,0.99642,0.99425,0.99478,0.8257,0.70954,0.41446,0.92227,0.00138644,0.00138644,0.00138644
19,185.826,0.79226,0.54655,0.9509,0.98921,0.97961,0.99477,0.83113,0.7287,0.42644,0.91801,0.00136994,0.00136994,0.00136994
20,195.204,0.79953,0.58912,0.94199,0.98802,0.99104,0.99449,0.84645,0.6938,0.41019,0.88966,0.00135344,0.00135344,0.00135344
21,204.87,0.79089,0.54165,0.94293,0.99848,0.99729,0.995,0.82485,0.72267,0.40326,0.91982,0.00133693,0.00133693,0.00133693
22,214.719,0.75731,0.53036,0.92941,0.99585,1,0.995,0.83367,0.70128,0.38679,0.90398,0.00132043,0.00132043,0.00132043
23,223.762,0.75183,0.52794,0.92709,0.98971,0.9927,0.995,0.83477,0.73753,0.40613,0.92318,0.00130393,0.00130393,0.00130393
24,232.101,0.75553,0.51773,0.92409,0.98117,0.9884,0.99104,0.83984,0.67484,0.40391,0.902,0.00128742,0.00128742,0.00128742
25,240.492,0.74803,0.51559,0.92986,0.99476,0.98851,0.99481,0.84586,0.70734,0.38793,0.89597,0.00127092,0.00127092,0.00127092
26,248.729,0.75442,0.49233,0.93884,0.99088,0.99425,0.99478,0.85017,0.66506,0.36788,0.89088,0.00125442,0.00125442,0.00125442
27,256.928,0.75756,0.51203,0.93987,0.99431,0.99163,0.99494,0.86297,0.64832,0.38261,0.88456,0.00123791,0.00123791,0.00123791
28,265.11,0.76525,0.49601,0.9402,0.98317,0.98995,0.99447,0.82656,0.72721,0.39576,0.91671,0.00122141,0.00122141,0.00122141
29,273.347,0.74506,0.48384,0.93023,0.99906,0.99855,0.995,0.8473,0.70833,0.37634,0.89575,0.00120491,0.00120491,0.00120491
30,281.55,0.74797,0.49352,0.93428,0.99223,1,0.99494,0.8559,0.68558,0.37826,0.89864,0.0011884,0.0011884,0.0011884
31,289.813,0.76667,0.5008,0.95196,0.96748,0.97512,0.99368,0.85459,0.64498,0.41668,0.88782,0.0011719,0.0011719,0.0011719
32,297.992,0.74626,0.48834,0.93959,0.99787,0.99426,0.995,0.85452,0.64728,0.35926,0.88755,0.0011554,0.0011554,0.0011554
33,306.136,0.73301,0.47129,0.93102,0.9772,0.9923,0.99492,0.85961,0.65052,0.37647,0.88469,0.00113889,0.00113889,0.00113889
34,314.263,0.75167,0.47518,0.9335,0.99908,1,0.995,0.85592,0.64078,0.35726,0.87831,0.00112239,0.00112239,0.00112239
35,322.351,0.69511,0.44195,0.91328,0.99936,1,0.995,0.85531,0.66798,0.34104,0.89201,0.00110589,0.00110589,0.00110589
36,330.495,0.70867,0.46098,0.91171,0.99712,0.99749,0.995,0.84396,0.6847,0.35848,0.89485,0.00108938,0.00108938,0.00108938
37,338.661,0.70616,0.45688,0.9204,0.99918,0.99969,0.995,0.87015,0.62137,0.32562,0.88102,0.00107288,0.00107288,0.00107288
38,346.855,0.71075,0.46186,0.91388,0.99669,1,0.99462,0.85582,0.65134,0.34676,0.89093,0.00105638,0.00105638,0.00105638
39,355.023,0.72382,0.46539,0.9287,0.99197,0.99541,0.99494,0.86578,0.63516,0.34758,0.88169,0.00103987,0.00103987,0.00103987
40,363.14,0.70512,0.45545,0.91643,0.9908,1,0.99494,0.85789,0.68693,0.34962,0.88902,0.00102337,0.00102337,0.00102337
41,371.173,0.72034,0.47203,0.92828,0.99363,1,0.995,0.87925,0.61894,0.32806,0.87893,0.00100687,0.00100687,0.00100687
42,379.312,0.69627,0.43873,0.91566,0.99886,1,0.995,0.8816,0.62442,0.32824,0.87593,0.000990365,0.000990365,0.000990365
43,387.492,0.69296,0.43778,0.91329,0.99884,1,0.995,0.87308,0.64139,0.32463,0.8885,0.000973861,0.000973861,0.000973861
44,395.628,0.71141,0.45427,0.92229,0.99717,1,0.995,0.85714,0.67746,0.33946,0.89019,0.000957358,0.000957358,0.000957358
45,403.776,0.6969,0.44031,0.91053,0.99915,1,0.995,0.88078,0.63035,0.33129,0.87972,0.000940855,0.000940855,0.000940855
46,411.891,0.69581,0.43445,0.91944,0.99857,0.99762,0.995,0.87596,0.64157,0.33517,0.88366,0.000924352,0.000924352,0.000924352
47,420.061,0.67653,0.41695,0.90311,0.99939,1,0.995,0.85794,0.68153,0.3376,0.89743,0.000907848,0.000907848,0.000907848
48,428.198,0.68606,0.42413,0.90933,0.99405,1,0.995,0.87159,0.63311,0.33556,0.88064,0.000891345,0.000891345,0.000891345
49,436.272,0.67584,0.43371,0.90336,0.99924,1,0.995,0.87645,0.63002,0.31296,0.87451,0.000874842,0.000874842,0.000874842
50,444.342,0.68514,0.43256,0.9097,0.99863,1,0.995,0.87371,0.61496,0.3095,0.87606,0.000858338,0.000858338,0.000858338
51,452.665,0.6866,0.42999,0.91317,0.99368,1,0.995,0.87512,0.62614,0.31435,0.87901,0.000841835,0.000841835,0.000841835
52,460.838,0.65994,0.40544,0.90396,0.98866,0.97635,0.99489,0.86805,0.63468,0.32641,0.87976,0.000825332,0.000825332,0.000825332
53,468.925,0.65638,0.40843,0.9,0.99932,1,0.995,0.87875,0.60716,0.30743,0.86964,0.000808828,0.000808828,0.000808828
54,477.012,0.68069,0.42724,0.9147,0.99943,1,0.995,0.86849,0.61072,0.3113,0.87013,0.000792325,0.000792325,0.000792325
55,485.183,0.67646,0.42144,0.914,0.99914,1,0.995,0.87888,0.60748,0.29923,0.87324,0.000775822,0.000775822,0.000775822
56,493.333,0.66618,0.412,0.90497,0.99965,1,0.995,0.87412,0.63346,0.31271,0.88194,0.000759318,0.000759318,0.000759318
57,501.561,0.64031,0.41489,0.88418,0.99944,1,0.995,0.89222,0.59949,0.29605,0.86827,0.000742815,0.000742815,0.000742815
58,509.737,0.64063,0.39129,0.89087,0.99863,1,0.995,0.87685,0.62218,0.30133,0.87398,0.000726312,0.000726312,0.000726312
59,517.881,0.66908,0.40491,0.90766,0.99633,0.99801,0.995,0.87175,0.62112,0.30758,0.8779,0.000709809,0.000709809,0.000709809
